avg_reward -0.28637310986824305 loss 0
avg_reward -0.2581002553787501 loss 0
avg_reward 0.12595524993576482 loss 0
avg_reward 0.17129045290505152 loss 0
avg_reward 0.1485604555655178 loss 0
avg_reward 0.37412768170716865 loss 0
avg_reward 0.05907896311539046 loss 0
avg_reward 0.05672516397892893 loss 0
avg_reward 0.09218782353439327 loss 0
avg_reward 0.13701612037929548 loss 0
avg_reward 0.05261313314713581 loss tensor(0.0717, grad_fn=<MeanBackward0>)
avg_reward 0.030244010881999114 loss tensor(0.0773, grad_fn=<MeanBackward0>)
avg_reward 0.29852325441782257 loss tensor(0.0843, grad_fn=<MeanBackward0>)
avg_reward -0.2043978115032928 loss tensor(0.0594, grad_fn=<MeanBackward0>)
avg_reward -0.11869674915290351 loss tensor(0.0557, grad_fn=<MeanBackward0>)
avg_reward 0.20029664695090407 loss tensor(0.0519, grad_fn=<MeanBackward0>)
avg_reward 0.10456316084630908 loss tensor(0.0577, grad_fn=<MeanBackward0>)
avg_reward 0.18170631061848916 loss tensor(0.0620, grad_fn=<MeanBackward0>)
avg_reward 0.12362243372056046 loss tensor(0.0724, grad_fn=<MeanBackward0>)
avg_reward 0.04561988711870429 loss tensor(0.1008, grad_fn=<MeanBackward0>)
avg_reward 0.19382552007599288 loss tensor(0.0609, grad_fn=<MeanBackward0>)
avg_reward -0.4189703002724466 loss tensor(0.0628, grad_fn=<MeanBackward0>)
avg_reward 0.12971825334476697 loss tensor(0.0776, grad_fn=<MeanBackward0>)
avg_reward 0.01588719501454385 loss tensor(0.0629, grad_fn=<MeanBackward0>)
avg_reward 0.3502015557345828 loss tensor(0.0658, grad_fn=<MeanBackward0>)
avg_reward 0.04097676788323798 loss tensor(0.0641, grad_fn=<MeanBackward0>)
avg_reward 0.3965687781041388 loss tensor(0.0806, grad_fn=<MeanBackward0>)
avg_reward 0.315206247501917 loss tensor(0.0799, grad_fn=<MeanBackward0>)
avg_reward -0.5448099620259427 loss tensor(0.0804, grad_fn=<MeanBackward0>)
avg_reward 0.09460679523295262 loss tensor(0.0659, grad_fn=<MeanBackward0>)
avg_reward -0.05985524724870448 loss tensor(0.0720, grad_fn=<MeanBackward0>)
avg_reward 0.36955992738949717 loss tensor(0.0714, grad_fn=<MeanBackward0>)
avg_reward 0.1375402005188378 loss tensor(0.0734, grad_fn=<MeanBackward0>)
avg_reward 0.31202131884258255 loss tensor(0.0951, grad_fn=<MeanBackward0>)
avg_reward -0.2213878416974857 loss tensor(0.0538, grad_fn=<MeanBackward0>)
avg_reward -0.2884147665420919 loss tensor(0.0763, grad_fn=<MeanBackward0>)
avg_reward 0.19473570139638383 loss tensor(0.0558, grad_fn=<MeanBackward0>)
avg_reward 0.22060530743854553 loss tensor(0.0450, grad_fn=<MeanBackward0>)
avg_reward 0.2997927430768204 loss tensor(0.0610, grad_fn=<MeanBackward0>)
avg_reward 0.28830222598392413 loss tensor(0.0464, grad_fn=<MeanBackward0>)
avg_reward 0.14774369732590714 loss tensor(0.0636, grad_fn=<MeanBackward0>)
avg_reward -0.4773909604067667 loss tensor(0.0672, grad_fn=<MeanBackward0>)
avg_reward 0.11074894576869612 loss tensor(0.0590, grad_fn=<MeanBackward0>)
avg_reward 0.31615330845884115 loss tensor(0.0596, grad_fn=<MeanBackward0>)
avg_reward 0.4921051498003054 loss tensor(0.0617, grad_fn=<MeanBackward0>)
avg_reward 0.2871890862188455 loss tensor(0.0718, grad_fn=<MeanBackward0>)
avg_reward 0.08007765447299425 loss tensor(0.0626, grad_fn=<MeanBackward0>)
avg_reward -0.4308541521515313 loss tensor(0.0612, grad_fn=<MeanBackward0>)
avg_reward 0.11074172311926704 loss tensor(0.0577, grad_fn=<MeanBackward0>)
avg_reward 0.24173261815928845 loss tensor(0.0588, grad_fn=<MeanBackward0>)
avg_reward 0.15026117543912332 loss tensor(0.0641, grad_fn=<MeanBackward0>)
avg_reward 0.012298225562506837 loss tensor(0.0604, grad_fn=<MeanBackward0>)
avg_reward 0.07839361809767541 loss tensor(0.0645, grad_fn=<MeanBackward0>)
avg_reward -0.39676049163446026 loss tensor(0.0626, grad_fn=<MeanBackward0>)
avg_reward 0.16891015487077649 loss tensor(0.0627, grad_fn=<MeanBackward0>)
avg_reward 0.232652863628113 loss tensor(0.0589, grad_fn=<MeanBackward0>)
avg_reward 0.2045548005400587 loss tensor(0.0538, grad_fn=<MeanBackward0>)
avg_reward 0.1823782375555225 loss tensor(0.0862, grad_fn=<MeanBackward0>)
avg_reward -0.01863831367746844 loss tensor(0.0706, grad_fn=<MeanBackward0>)
avg_reward -0.23567240664662545 loss tensor(0.0661, grad_fn=<MeanBackward0>)
avg_reward 0.09382791423167841 loss tensor(0.0598, grad_fn=<MeanBackward0>)
avg_reward -0.036758484961998954 loss tensor(0.0593, grad_fn=<MeanBackward0>)
avg_reward 0.12484584969448406 loss tensor(0.0686, grad_fn=<MeanBackward0>)
avg_reward 0.027598544830648317 loss tensor(0.0750, grad_fn=<MeanBackward0>)
avg_reward -0.4165524866356423 loss tensor(0.0647, grad_fn=<MeanBackward0>)
avg_reward 0.17373926175807025 loss tensor(0.0658, grad_fn=<MeanBackward0>)
avg_reward 0.07440757086391443 loss tensor(0.0633, grad_fn=<MeanBackward0>)
avg_reward 0.5103420793498056 loss tensor(0.0724, grad_fn=<MeanBackward0>)
avg_reward 0.1531155231239809 loss tensor(0.0710, grad_fn=<MeanBackward0>)
avg_reward -0.04452985658617881 loss tensor(0.0650, grad_fn=<MeanBackward0>)
avg_reward 0.04596282992835404 loss tensor(0.0647, grad_fn=<MeanBackward0>)
avg_reward 0.043211904285936395 loss tensor(0.0745, grad_fn=<MeanBackward0>)
avg_reward 0.03070904049652944 loss tensor(0.0650, grad_fn=<MeanBackward0>)
avg_reward -0.0786803892385144 loss tensor(0.0556, grad_fn=<MeanBackward0>)
avg_reward -0.10503181596614661 loss tensor(0.0617, grad_fn=<MeanBackward0>)
avg_reward -0.13183312299062003 loss tensor(0.0600, grad_fn=<MeanBackward0>)
avg_reward 0.15544868710172882 loss tensor(0.0631, grad_fn=<MeanBackward0>)
avg_reward 0.32090871664572945 loss tensor(0.0672, grad_fn=<MeanBackward0>)
avg_reward -0.037797250753389404 loss tensor(0.0648, grad_fn=<MeanBackward0>)
avg_reward -0.38509181943503856 loss tensor(0.0625, grad_fn=<MeanBackward0>)
avg_reward -0.00910102410197842 loss tensor(0.0531, grad_fn=<MeanBackward0>)
avg_reward -0.08569634688470419 loss tensor(0.0843, grad_fn=<MeanBackward0>)
avg_reward 0.016335970484243924 loss tensor(0.0810, grad_fn=<MeanBackward0>)
avg_reward -0.0335798047916654 loss tensor(0.0733, grad_fn=<MeanBackward0>)
avg_reward -0.37366603683290683 loss tensor(0.0770, grad_fn=<MeanBackward0>)
avg_reward -0.020698735806970923 loss tensor(0.0800, grad_fn=<MeanBackward0>)
avg_reward 0.10699404561112785 loss tensor(0.0815, grad_fn=<MeanBackward0>)
avg_reward 0.24363254879209137 loss tensor(0.0772, grad_fn=<MeanBackward0>)
avg_reward 0.10289575560071029 loss tensor(0.0880, grad_fn=<MeanBackward0>)
avg_reward -0.35913097896383533 loss tensor(0.0659, grad_fn=<MeanBackward0>)
avg_reward 0.12553821944270396 loss tensor(0.0712, grad_fn=<MeanBackward0>)
avg_reward -0.003877075733148807 loss tensor(0.0915, grad_fn=<MeanBackward0>)
avg_reward 0.15910316459231666 loss tensor(0.0829, grad_fn=<MeanBackward0>)
avg_reward -0.44313428963458373 loss tensor(0.0634, grad_fn=<MeanBackward0>)
avg_reward -0.13499572699979617 loss tensor(0.0884, grad_fn=<MeanBackward0>)
avg_reward 0.220099981610785 loss tensor(0.0835, grad_fn=<MeanBackward0>)
avg_reward 0.05388181801320936 loss tensor(0.0725, grad_fn=<MeanBackward0>)
avg_reward 0.11486362672744167 loss tensor(0.0735, grad_fn=<MeanBackward0>)
avg_reward 0.12752848600123934 loss tensor(0.0755, grad_fn=<MeanBackward0>)
avg_reward -0.19668252505720266 loss tensor(0.0748, grad_fn=<MeanBackward0>)
avg_reward 0.13794889273512279 loss tensor(0.0795, grad_fn=<MeanBackward0>)
avg_reward 0.12653541294184514 loss tensor(0.0734, grad_fn=<MeanBackward0>)
avg_reward 0.3072641858657821 loss tensor(0.1103, grad_fn=<MeanBackward0>)
avg_reward 0.04964963903837682 loss tensor(0.0776, grad_fn=<MeanBackward0>)
avg_reward -0.051138035137325705 loss tensor(0.0982, grad_fn=<MeanBackward0>)
avg_reward 0.3796324883789592 loss tensor(0.0737, grad_fn=<MeanBackward0>)
avg_reward 0.011852866192486605 loss tensor(0.0723, grad_fn=<MeanBackward0>)
avg_reward -0.06709082840421038 loss tensor(0.0854, grad_fn=<MeanBackward0>)
avg_reward 0.08415072641073941 loss tensor(0.1021, grad_fn=<MeanBackward0>)
avg_reward -0.33984788785294606 loss tensor(0.0922, grad_fn=<MeanBackward0>)
avg_reward 0.12174584818262899 loss tensor(0.0994, grad_fn=<MeanBackward0>)
avg_reward -0.1182401250302459 loss tensor(0.1052, grad_fn=<MeanBackward0>)
avg_reward -0.18576063891070757 loss tensor(0.0790, grad_fn=<MeanBackward0>)
avg_reward -0.2540944973413002 loss tensor(0.1093, grad_fn=<MeanBackward0>)
avg_reward -0.31399796772452654 loss tensor(0.1117, grad_fn=<MeanBackward0>)
avg_reward 0.15884850753952667 loss tensor(0.0910, grad_fn=<MeanBackward0>)
avg_reward 0.16262272036392755 loss tensor(0.0662, grad_fn=<MeanBackward0>)
avg_reward 0.15329746197543315 loss tensor(0.1005, grad_fn=<MeanBackward0>)
avg_reward -0.020335216724881356 loss tensor(0.0804, grad_fn=<MeanBackward0>)
avg_reward -0.17869688233105652 loss tensor(0.1144, grad_fn=<MeanBackward0>)
avg_reward 0.2932211031850533 loss tensor(0.0930, grad_fn=<MeanBackward0>)
avg_reward -0.05657378221078001 loss tensor(0.0950, grad_fn=<MeanBackward0>)
avg_reward -0.18036537930060492 loss tensor(0.0821, grad_fn=<MeanBackward0>)
avg_reward 0.25625261670098726 loss tensor(0.1073, grad_fn=<MeanBackward0>)
avg_reward -0.17697512780759317 loss tensor(0.0962, grad_fn=<MeanBackward0>)
avg_reward 0.04674894956958113 loss tensor(0.1317, grad_fn=<MeanBackward0>)
avg_reward -0.2059507448374946 loss tensor(0.0802, grad_fn=<MeanBackward0>)
avg_reward 0.09065705023102547 loss tensor(0.0966, grad_fn=<MeanBackward0>)
avg_reward -0.0714133477026946 loss tensor(0.0762, grad_fn=<MeanBackward0>)
avg_reward -0.1306458198519886 loss tensor(0.0918, grad_fn=<MeanBackward0>)
avg_reward 0.09242938511914994 loss tensor(0.0635, grad_fn=<MeanBackward0>)
avg_reward 0.3107202057828704 loss tensor(0.1227, grad_fn=<MeanBackward0>)
avg_reward 0.12245146721366745 loss tensor(0.0882, grad_fn=<MeanBackward0>)
avg_reward -0.009073709690426581 loss tensor(0.0822, grad_fn=<MeanBackward0>)
avg_reward -0.12180254556934393 loss tensor(0.1003, grad_fn=<MeanBackward0>)
avg_reward -0.11332893792627508 loss tensor(0.1194, grad_fn=<MeanBackward0>)
avg_reward -0.2678231808308029 loss tensor(0.0925, grad_fn=<MeanBackward0>)
avg_reward 0.010776340094803298 loss tensor(0.1125, grad_fn=<MeanBackward0>)
avg_reward 0.06486263476255685 loss tensor(0.1781, grad_fn=<MeanBackward0>)
avg_reward -0.10759543072573181 loss tensor(0.0950, grad_fn=<MeanBackward0>)
avg_reward -0.0026867930329833476 loss tensor(0.1208, grad_fn=<MeanBackward0>)
avg_reward 0.0677303863729683 loss tensor(0.0971, grad_fn=<MeanBackward0>)
avg_reward 0.00919431260332729 loss tensor(0.1306, grad_fn=<MeanBackward0>)
avg_reward -0.3234465052027577 loss tensor(0.1460, grad_fn=<MeanBackward0>)
avg_reward -0.10373980566546936 loss tensor(0.1448, grad_fn=<MeanBackward0>)
avg_reward 0.1994773132110896 loss tensor(0.1058, grad_fn=<MeanBackward0>)
avg_reward -0.06753191688179414 loss tensor(0.1027, grad_fn=<MeanBackward0>)
avg_reward 0.10171798001205891 loss tensor(0.0926, grad_fn=<MeanBackward0>)
avg_reward -0.18441099851285694 loss tensor(0.0934, grad_fn=<MeanBackward0>)
avg_reward -0.17638452556398868 loss tensor(0.0928, grad_fn=<MeanBackward0>)
avg_reward 0.08478806619301524 loss tensor(0.0787, grad_fn=<MeanBackward0>)
avg_reward 0.01878085058948531 loss tensor(0.0756, grad_fn=<MeanBackward0>)
avg_reward -0.006581667125416773 loss tensor(0.0975, grad_fn=<MeanBackward0>)
avg_reward -0.11327696880168273 loss tensor(0.0944, grad_fn=<MeanBackward0>)
avg_reward -0.1505466192708984 loss tensor(0.0956, grad_fn=<MeanBackward0>)
avg_reward 0.12414801080935846 loss tensor(0.0781, grad_fn=<MeanBackward0>)
avg_reward 0.1730384288020041 loss tensor(0.0846, grad_fn=<MeanBackward0>)
avg_reward -0.15321793168268422 loss tensor(0.0701, grad_fn=<MeanBackward0>)
avg_reward -0.06869045397988711 loss tensor(0.0910, grad_fn=<MeanBackward0>)
avg_reward -0.16970620091631067 loss tensor(0.0743, grad_fn=<MeanBackward0>)
avg_reward -0.10546328507641338 loss tensor(0.1047, grad_fn=<MeanBackward0>)
avg_reward 0.07589955320239113 loss tensor(0.0890, grad_fn=<MeanBackward0>)
avg_reward 0.11666585258421348 loss tensor(0.0934, grad_fn=<MeanBackward0>)
avg_reward 0.23352290411523402 loss tensor(0.0784, grad_fn=<MeanBackward0>)
avg_reward -0.021716693747815513 loss tensor(0.1057, grad_fn=<MeanBackward0>)
avg_reward -0.12746024107741952 loss tensor(0.0664, grad_fn=<MeanBackward0>)
avg_reward 0.17860418191970326 loss tensor(0.0831, grad_fn=<MeanBackward0>)
avg_reward -0.09208212869905501 loss tensor(0.0739, grad_fn=<MeanBackward0>)
avg_reward -0.17590611932324876 loss tensor(0.0848, grad_fn=<MeanBackward0>)
avg_reward -0.4541035079450297 loss tensor(0.0835, grad_fn=<MeanBackward0>)
avg_reward -0.001276341073358065 loss tensor(0.0858, grad_fn=<MeanBackward0>)
avg_reward -0.08587153991728093 loss tensor(0.0836, grad_fn=<MeanBackward0>)
avg_reward 0.13745507011016406 loss tensor(0.0875, grad_fn=<MeanBackward0>)
avg_reward 0.16327916361197922 loss tensor(0.1203, grad_fn=<MeanBackward0>)
avg_reward 0.07932152997021022 loss tensor(0.0919, grad_fn=<MeanBackward0>)
avg_reward -0.1401104457226181 loss tensor(0.0810, grad_fn=<MeanBackward0>)
avg_reward -0.21066072549621953 loss tensor(0.0813, grad_fn=<MeanBackward0>)
avg_reward 0.15503086800482557 loss tensor(0.0734, grad_fn=<MeanBackward0>)
avg_reward 0.0656302793765728 loss tensor(0.0984, grad_fn=<MeanBackward0>)
avg_reward -0.11191992111066512 loss tensor(0.0856, grad_fn=<MeanBackward0>)
avg_reward -0.0048004249829486055 loss tensor(0.0765, grad_fn=<MeanBackward0>)
avg_reward 0.060779112526235315 loss tensor(0.0912, grad_fn=<MeanBackward0>)
avg_reward 0.2807299140217877 loss tensor(0.0536, grad_fn=<MeanBackward0>)
avg_reward 0.28843565035874597 loss tensor(0.0708, grad_fn=<MeanBackward0>)
avg_reward -0.1970416893046952 loss tensor(0.0926, grad_fn=<MeanBackward0>)
avg_reward -0.04392692146960497 loss tensor(0.0938, grad_fn=<MeanBackward0>)
avg_reward 0.21565094720613076 loss tensor(0.1031, grad_fn=<MeanBackward0>)
avg_reward 0.12538488534398684 loss tensor(0.0887, grad_fn=<MeanBackward0>)
avg_reward -0.036319231477346114 loss tensor(0.1107, grad_fn=<MeanBackward0>)
avg_reward 0.13058161212309988 loss tensor(0.0979, grad_fn=<MeanBackward0>)
avg_reward -0.18041893584372737 loss tensor(0.0897, grad_fn=<MeanBackward0>)
avg_reward 0.19357737393173405 loss tensor(0.0697, grad_fn=<MeanBackward0>)
avg_reward 0.0867812842611602 loss tensor(0.1160, grad_fn=<MeanBackward0>)
avg_reward 0.2382798795279687 loss tensor(0.1059, grad_fn=<MeanBackward0>)
avg_reward -0.09005102440637465 loss tensor(0.1084, grad_fn=<MeanBackward0>)
avg_reward 0.04971760555711871 loss tensor(0.0682, grad_fn=<MeanBackward0>)
avg_reward 0.3095643545463912 loss tensor(0.1036, grad_fn=<MeanBackward0>)
avg_reward 0.44323398626784766 loss tensor(0.0837, grad_fn=<MeanBackward0>)
avg_reward 0.14619392028017744 loss tensor(0.0719, grad_fn=<MeanBackward0>)
avg_reward -0.1020278870945451 loss tensor(0.0801, grad_fn=<MeanBackward0>)
avg_reward -0.2726490180768417 loss tensor(0.1012, grad_fn=<MeanBackward0>)
avg_reward 0.2233098241513444 loss tensor(0.0786, grad_fn=<MeanBackward0>)
avg_reward 0.04674447756130601 loss tensor(0.0912, grad_fn=<MeanBackward0>)
avg_reward 0.09486854264175296 loss tensor(0.0892, grad_fn=<MeanBackward0>)
avg_reward -0.057611890366559934 loss tensor(0.0879, grad_fn=<MeanBackward0>)
avg_reward 0.06559166241957505 loss tensor(0.0890, grad_fn=<MeanBackward0>)
avg_reward -0.026636519822517392 loss tensor(0.1078, grad_fn=<MeanBackward0>)
avg_reward -0.006286391936156963 loss tensor(0.0805, grad_fn=<MeanBackward0>)
avg_reward 0.06051672640075262 loss tensor(0.0972, grad_fn=<MeanBackward0>)
avg_reward -0.32687095969046565 loss tensor(0.0853, grad_fn=<MeanBackward0>)
avg_reward 0.06441218894888645 loss tensor(0.0953, grad_fn=<MeanBackward0>)
avg_reward -0.1949475899166395 loss tensor(0.0975, grad_fn=<MeanBackward0>)
avg_reward 0.13869139287629387 loss tensor(0.0858, grad_fn=<MeanBackward0>)
avg_reward -0.06590938514915823 loss tensor(0.1305, grad_fn=<MeanBackward0>)
avg_reward -0.2991580651752673 loss tensor(0.1002, grad_fn=<MeanBackward0>)
avg_reward 0.16669687559702306 loss tensor(0.0973, grad_fn=<MeanBackward0>)
avg_reward -0.1630715465446508 loss tensor(0.1034, grad_fn=<MeanBackward0>)
avg_reward 0.2542031038196638 loss tensor(0.0934, grad_fn=<MeanBackward0>)
avg_reward -0.11459795788199462 loss tensor(0.0643, grad_fn=<MeanBackward0>)
avg_reward -0.5575521744434819 loss tensor(0.0949, grad_fn=<MeanBackward0>)
avg_reward 0.05755052701521574 loss tensor(0.0757, grad_fn=<MeanBackward0>)
avg_reward -0.08898348408188772 loss tensor(0.0715, grad_fn=<MeanBackward0>)
avg_reward 0.12370192181680396 loss tensor(0.0773, grad_fn=<MeanBackward0>)
avg_reward 0.14984409295656692 loss tensor(0.0763, grad_fn=<MeanBackward0>)
avg_reward -0.3909185549590501 loss tensor(0.0731, grad_fn=<MeanBackward0>)
avg_reward 0.04924595179930293 loss tensor(0.0622, grad_fn=<MeanBackward0>)
avg_reward 0.13225552229333384 loss tensor(0.0581, grad_fn=<MeanBackward0>)
avg_reward 0.24163878099382097 loss tensor(0.0681, grad_fn=<MeanBackward0>)
avg_reward 0.03056780988979365 loss tensor(0.1047, grad_fn=<MeanBackward0>)
avg_reward -0.4220911966392416 loss tensor(0.0974, grad_fn=<MeanBackward0>)
avg_reward 0.06398039509108579 loss tensor(0.0782, grad_fn=<MeanBackward0>)
avg_reward 0.09499358495490544 loss tensor(0.1080, grad_fn=<MeanBackward0>)
avg_reward 0.2376119626567477 loss tensor(0.0696, grad_fn=<MeanBackward0>)
avg_reward -0.0026819044393878266 loss tensor(0.0887, grad_fn=<MeanBackward0>)
avg_reward -0.3247002896931139 loss tensor(0.0814, grad_fn=<MeanBackward0>)
avg_reward 0.033337154597374345 loss tensor(0.0936, grad_fn=<MeanBackward0>)
avg_reward -0.0993669357947553 loss tensor(0.0665, grad_fn=<MeanBackward0>)
avg_reward 0.031560208431778786 loss tensor(0.1162, grad_fn=<MeanBackward0>)
avg_reward -0.008754526883092705 loss tensor(0.1047, grad_fn=<MeanBackward0>)
avg_reward -0.2670247196574325 loss tensor(0.0927, grad_fn=<MeanBackward0>)
avg_reward 0.08122520103765538 loss tensor(0.0946, grad_fn=<MeanBackward0>)
avg_reward -0.008776262425500619 loss tensor(0.1095, grad_fn=<MeanBackward0>)
avg_reward 0.2101374919901617 loss tensor(0.0823, grad_fn=<MeanBackward0>)
avg_reward 0.3625260137735755 loss tensor(0.0667, grad_fn=<MeanBackward0>)
avg_reward -0.15669414739287035 loss tensor(0.0961, grad_fn=<MeanBackward0>)
avg_reward 0.0931673420480288 loss tensor(0.0731, grad_fn=<MeanBackward0>)
avg_reward -0.0038481890118404506 loss tensor(0.0772, grad_fn=<MeanBackward0>)
avg_reward -0.0980855926859078 loss tensor(0.0830, grad_fn=<MeanBackward0>)
avg_reward -0.013034687294859435 loss tensor(0.0847, grad_fn=<MeanBackward0>)
avg_reward -0.397578317400515 loss tensor(0.1153, grad_fn=<MeanBackward0>)
avg_reward 0.021213683783141157 loss tensor(0.0962, grad_fn=<MeanBackward0>)
avg_reward 0.18215997328865105 loss tensor(0.0986, grad_fn=<MeanBackward0>)
avg_reward 0.1257136805935695 loss tensor(0.0936, grad_fn=<MeanBackward0>)
avg_reward -0.02313758558105439 loss tensor(0.0620, grad_fn=<MeanBackward0>)
avg_reward -0.501434384715433 loss tensor(0.0696, grad_fn=<MeanBackward0>)
avg_reward 0.25451736454123364 loss tensor(0.0940, grad_fn=<MeanBackward0>)
avg_reward -0.028424090692141177 loss tensor(0.0882, grad_fn=<MeanBackward0>)
avg_reward 0.11707771782815175 loss tensor(0.0991, grad_fn=<MeanBackward0>)
avg_reward 0.09660256389888731 loss tensor(0.0733, grad_fn=<MeanBackward0>)
avg_reward -0.4787675290327429 loss tensor(0.1132, grad_fn=<MeanBackward0>)
avg_reward 0.23286858132128987 loss tensor(0.0833, grad_fn=<MeanBackward0>)
avg_reward 0.16060183284414842 loss tensor(0.0996, grad_fn=<MeanBackward0>)
avg_reward 0.09846619063699012 loss tensor(0.0709, grad_fn=<MeanBackward0>)
avg_reward 0.001509553930319445 loss tensor(0.0938, grad_fn=<MeanBackward0>)
avg_reward -0.610139843680937 loss tensor(0.1064, grad_fn=<MeanBackward0>)
avg_reward 0.23043994876176163 loss tensor(0.0778, grad_fn=<MeanBackward0>)
avg_reward 0.00998176595340242 loss tensor(0.0992, grad_fn=<MeanBackward0>)
avg_reward 0.30525281371349655 loss tensor(0.0908, grad_fn=<MeanBackward0>)
avg_reward 0.15292661494915055 loss tensor(0.0797, grad_fn=<MeanBackward0>)
avg_reward -0.4035032373184116 loss tensor(0.0882, grad_fn=<MeanBackward0>)
avg_reward 0.0968899491397845 loss tensor(0.0969, grad_fn=<MeanBackward0>)
avg_reward -0.04698974672364015 loss tensor(0.0867, grad_fn=<MeanBackward0>)
avg_reward 0.2537338942813447 loss tensor(0.0886, grad_fn=<MeanBackward0>)
avg_reward -0.10142797097015886 loss tensor(0.0942, grad_fn=<MeanBackward0>)
avg_reward -0.4610953361283986 loss tensor(0.0677, grad_fn=<MeanBackward0>)
avg_reward 0.06194460157910457 loss tensor(0.0877, grad_fn=<MeanBackward0>)
avg_reward 0.01743952159153615 loss tensor(0.1393, grad_fn=<MeanBackward0>)
avg_reward -0.13165484529400276 loss tensor(0.1031, grad_fn=<MeanBackward0>)
avg_reward 0.2671121266184806 loss tensor(0.0859, grad_fn=<MeanBackward0>)
avg_reward -0.4761538104262171 loss tensor(0.0713, grad_fn=<MeanBackward0>)
avg_reward 0.13323291412169858 loss tensor(0.0625, grad_fn=<MeanBackward0>)
avg_reward 0.027481977837243307 loss tensor(0.0708, grad_fn=<MeanBackward0>)
avg_reward 0.22640553648010994 loss tensor(0.0946, grad_fn=<MeanBackward0>)
avg_reward 0.11315120969750536 loss tensor(0.0504, grad_fn=<MeanBackward0>)
avg_reward -0.14371396302323464 loss tensor(0.0884, grad_fn=<MeanBackward0>)
avg_reward 0.16298906744566452 loss tensor(0.0705, grad_fn=<MeanBackward0>)
avg_reward 0.24910152767837468 loss tensor(0.1188, grad_fn=<MeanBackward0>)
avg_reward 0.11077638645931737 loss tensor(0.0926, grad_fn=<MeanBackward0>)
avg_reward 0.04050547482138731 loss tensor(0.0861, grad_fn=<MeanBackward0>)
avg_reward 0.08444625666980882 loss tensor(0.0800, grad_fn=<MeanBackward0>)
avg_reward -0.024988328278437513 loss tensor(0.0998, grad_fn=<MeanBackward0>)
avg_reward 0.13306947246504872 loss tensor(0.0713, grad_fn=<MeanBackward0>)
avg_reward 0.21470425579578292 loss tensor(0.1010, grad_fn=<MeanBackward0>)
avg_reward -0.16293797188689485 loss tensor(0.0969, grad_fn=<MeanBackward0>)
avg_reward -0.02086498607975159 loss tensor(0.1121, grad_fn=<MeanBackward0>)
avg_reward 0.3187177250311965 loss tensor(0.0866, grad_fn=<MeanBackward0>)
avg_reward 0.07118589063105485 loss tensor(0.0833, grad_fn=<MeanBackward0>)
avg_reward -0.0530849607301682 loss tensor(0.1045, grad_fn=<MeanBackward0>)
avg_reward -0.2986277379732298 loss tensor(0.0938, grad_fn=<MeanBackward0>)
avg_reward 0.0225530347055136 loss tensor(0.0698, grad_fn=<MeanBackward0>)
avg_reward 0.2165527080165058 loss tensor(0.0770, grad_fn=<MeanBackward0>)
avg_reward -0.0658289088713161 loss tensor(0.0808, grad_fn=<MeanBackward0>)
avg_reward 0.14217488421661698 loss tensor(0.0963, grad_fn=<MeanBackward0>)
avg_reward -0.3615900132288 loss tensor(0.0732, grad_fn=<MeanBackward0>)
avg_reward -0.007593094446129521 loss tensor(0.0860, grad_fn=<MeanBackward0>)
avg_reward 0.1437089993700705 loss tensor(0.1206, grad_fn=<MeanBackward0>)
